Region,Job Posting,Province,Job Posting Range,Job Posting Adjusted
Bali,3,Bali,1,2
Banten,79,Banten,2,3
Central Java,15,Jawa Tengah,1,2
Central Kalimantan,2,Kalimantan Tengah,1,2
Central Sulawesi,2,Sulawesi Tengah,1,2
East Java,32,Jawa Timur,2,3
East Kalimantan,3,Kalimantan Timur,1,2
Jakarta,1062,Dki Jakarta,4,4
Lampung,1,Lampung,1,2
North Sulawesi,1,Sulawesi Utara,1,2
North Sumatra,6,Sumatera Utara,1,2
Papua,2,Papua,1,2
Riau,10,Riau,1,2
South Sulawesi,1,Sulawesi Selatan ,1,2
South Sumatra,1,Sumatra Selatan,1,2
West Java,32,Jawa Barat,2,3
West Nusa Tenggara,4,Nusa Tenggara Barat,1,2
Yogyakarta,17,Yogyakarta,1,2
