Word,Count,Tag,,,,
degree,1778,,,,,
bachelors,862,Bachelor,,,Bachelor,1792
bachelor,560,Bachelor,,,Master,370
phd,265,PhD,,,PhD,267
masters,215,Master,,,,
bs,182,Bachelor,,,,
bachelorscollege,145,Bachelor,,,,
college,125,,,,,
,122,,,,,
diploma,93,,,,,
master,86,Master,,,,
university,59,,,,,
graduate,50,,,,,
ms,36,Master,,,,
ba,31,Bachelor,,,,
msc,26,Master,,,,
or,24,,,,,
undergraduate,17,,,,,
of,15,,,,,
holder,12,,,,,
tertiary,11,,,,,
education,10,,,,,
minimum,9,,,,,
technical,7,,,,,
postgraduate,7,,,,,
science,6,,,,,
advanced,6,,,,,
in,5,,,,,
business,4,,,,,
mathematics,4,,,,,
level,3,,,,,
d,3,,,,,
bachelorsuniversity,3,Bachelor,,,,
graduates,3,,,,,
qualifications,3,,,,,
min,3,,,,,
bachelorsmasters,2,Master,,,,
bacheloruniversity,2,,,,,
php1800000,2,,,,,
desired,2,,,,,
bsc,2,Bachelor,,,,
commerce,2,,,,,
barat,2,,,,,
accounting,2,,,,,
bachelorcollege,2,Bachelor,,,,
accountancy,2,,,,,
nursing,2,,,,,
bachelordiploma,2,Bachelor,,,,
bachelormaster,2,Master,,,,
with,2,,,,,
majoring,2,,,,,
month,1,,,,,
nitec,1,,,,,
bachelordegree,1,Bachelor,,,,
engineering,1,,,,,
management,1,,,,,
ab,1,Bachelor,,,,
desgree,1,,,,,
bsms,1,Master,,,,
a,1,,,,,
any,1,,,,,
administration,1,,,,,
diplomas,1,,,,,
phds,1,PhD,,,,
academic,1,,,,,
bba,1,,,,,
at,1,,,,,
least,1,,,,,
doctorate,1,PhD,,,,
bachelorsmaster,1,Master,,,,
bsba,1,,,,,
geology,1,,,,,
bachelorgraduate,1,Bachelor,,,,
bachelormasters,1,Master,,,,
technology,1,,,,,
years,1,,,,,
bi,1,,,,,
