Word,Count,Tag,,,
years,2120,,,Number,Count
3,463,3,,1,420
2,409,2,,2,451
1,368,1,,3,520
5,364,5,,4,178
year,334,,,5,403
at,250,,,6+,138
least,250,,,,
4,147,4,,,
minimum,145,,,,
experience,122,,,,
35,117,,,,
12,102,,,,
14,70,,,,
23,66,,,,
,52,,,,
6,52,6+,,,
3+,50,3,,,
13,44,,,,
10,44,,,,
months,35,,,,
5+,32,5,,,
8,31,6+,,,
7,29,6+,,,
4+,27,4,,,
1+,24,1,,,
one,23,1,,,
2+,23,2,,,
34,22,,,,
to,20,,,,
more,19,,,,
25,19,,,,
min,19,,,,
of,18,,,,
than,17,,,,
57,14,,,,
45,14,,,,
46,13,,,,
24,12,,,,
two,11,2,,,
8+,11,6+,,,
58,11,,,,
37,8,,,,
or,7,,,,
48,7,,,,
yrs,7,,,,
fresh,5,,,,
graduates,5,,,,
2,5,2,,,
5,5,5,,,
510,5,,,,
6+,5,6+,,,
15,4,,,,
+,4,,,,
3,4,3,,,
scale,4,,,,
7+,4,6+,,,
oneyear,3,1,,,
three,3,3,,,
68,3,,,,
10+,3,6+,,,
4,3,4,,,
15+,3,6+,,,
12,3,,,,
2,3,2,,,
work,2,,,,
interviews,2,,,,
1,2,1,,,
bim,2,,,,
day,2,,,,
trips,2,,,,
free,2,,,,
dependent,2,,,,
710,2,,,,
minimally4,2,,,,
0,2,,,,
no,2,,,,
prior,2,,,,
610,2,,,,
experiences,2,,,,
working,2,,,,
1+1,2,,,,
five,2,5,,,
yearexperience,2,,,,
fouryear,1,4,,,
professional,1,,,,
49,1,,,,
1520,1,,,,
18,1,,,,
28,1,,,,
hospital,1,,,,
69,1,,,,
associate,1,,,,
degree,1,,,,
graduate,1,,,,
1015,1,,,,
end,1,,,,
minimal,1,,,,
experince,1,,,,
full,1,,,,
