bigrams,count
"('machine', 'learning')",19
"('data', 'analysis')",18
"('data', 'visualization')",15
"('business', 'intelligence')",14
"('data', 'warehouse')",11
"('data', 'analytics')",9
"('visualization', 'data')",9
"('data', 'collection')",7
"('analysis', 'data')",7
"('supply', 'chain')",6
"('programming', 'language')",6
"('data', 'mining')",5
"('project', 'management')",5
"('market', 'research')",5
"('relational', 'database')",5
"('database', 'management')",5
"('learning', 'data')",4
"('report', 'writing')",4
"('software', 'engineering')",4
"('time', 'series')",4
"('etl', 'data')",4
"('analytics', 'data')",4
"('warehouse', 'data')",4
"('artificial', 'intelligence')",4
"('chain', 'management')",4
"('management', 'data')",4
"('big', 'data')",4
"('warehouse', 'dashboards')",4
"('visual', 'analysis')",4
"('standard', 'data')",4
"('statistical', 'analysis')",4
"('etl', 'elt')",4
"('data', 'modeling')",4
"('collection', 'data')",3
"('analytics', 'statistical')",3
"('business', 'development')",3
"('regression', 'decision')",3
"('decision', 'tree')",3
"('statistical', 'models')",3
"('models', 'develop')",3
"('data', 'wrangling')",3
"('relational', 'databases')",3
"('intelligence', 'data')",3
"('management', 'programming')",3
"('language', 'machine')",3
"('development', 'data')",3
"('data', 'engineering')",3
"('pipeline', 'data')",3
"('intelligence', 'programming')",3
"('data', 'models')",3
"('word', 'processing')",3
"('analysis', 'visualization')",3
"('dashboards', 'deploy')",3
"('deploy', 'machine')",3
"('learning', 'visual')",3
"('queries', 'report')",3
"('statistical', 'programming')",2
"('programming', 'machine')",2
"('statistical', 'techniques')",2
"('six', 'sigma')",2
"('analysis', 'statistics')",2
"('statistics', 'machine')",2
"('learning', 'regression')",2
"('tree', 'time')",2
"('series', 'boosting')",2
"('boosting', 'deep')",2
"('deep', 'learning')",2
"('learning', 'statistical')",2
"('develop', 'pipelines')",2
"('pipelines', 'automation')",2
"('automation', 'data')",2
"('wrangling', 'relational')",2
"('competitive', 'intelligence')",2
"('roles', 'analyze')",2
"('reporting', 'data')",2
"('communication', 'skills')",2
"('predictive', 'analytics')",2
"('data', 'visualizations')",2
"('visualizations', 'statistical')",2
"('statistical', 'modelling')",2
"('modelling', 'visualisation')",2
"('management', 'business')",2
"('analysis', 'project')",2
"('business', 'unit')",2
"('engineering', 'business')",2
"('research', 'data')",2
"('data', 'pipelines')",2
"('pipelines', 'etl')",2
"('data', 'streaming')",2
"('streaming', 'business')",2
"('data', 'pipeline')",2
"('data', 'platform')",2
"('platform', 'data')",2
"('engineering', 'extract')",2
"('extract', 'transform')",2
"('transform', 'business')",2
"('models', 'data')",2
"('bi', 'visualization')",2
"('organizational', 'development')",2
"('analytics', 'machine')",2
