Word,Count
sql,535
excel,388
python,336
ms,312
microsoft,298
office,227
r,190
power,180
bi,172
tableau,167
google,153
aws,129
java,127
hadoop,120
spark,114
azure,109
,109
powerpoint,99
javascript,96
word,96
oracle,95
linux,91
hive,88
mysql,82
sas,81
data,73
server,71
sap,66
analytics,65
services,61
amazon,55
agile,53
suite,52
unix,46
c++,45
c,43
cloud,42
access,42
salesforce,41
php,40
talend,38
windows,37
git,37
nosql,36
web,35
mapreduce,35
business,35
objects,35
visual,35
scala,32
studio,32
etl,32
pandas,31
html,30
vba,30
jira,30
redshift,30
powerbi,29
365,29
scrum,28
scripting,28
postgresql,27
html5,25
css,25
hbase,25
s3,25
ssis,25
c#,23
kafka,23
cloudera,23
spss,22
sharepoint,22
mongodb,21
query,21
selenium,21
ssrs,21
jquery,20
outlook,20
pivot,20
informatica,19
ggplot,18
tensorflow,18
site,18
management,18
rdbms,18
numpy,17
crm,17
slq,16
pig,16
adwords,16
facebook,16
d3,16
apache,16
sheets,16
shell,16
platform,15
powershell,15
qlikview,15
quicksight,15
vmware,15
