trigrams,count
"('r', 'python', 'sql')",42
"('python', 'r', 'sql')",23
"('power', 'bi', 'tableau')",22
"('sql', 'python', 'r')",20
"('tableau', 'power', 'bi')",20
"('sql', 'r', 'python')",20
"('python', 'c', 'c++')",18
"('python', 'r', 'sas')",17
"('hadoop', 'hive', 'spark')",16
"('c', 'c++', 'python')",16
"('hadoop', 'spark', 'python')",15
"('r', 'python', 'hadoop')",15
"('microsoft', 'sql', 'server')",15
"('python', 'r', 'c')",14
"('python', 'c++', 'sql')",14
"('power', 'bi', 'sql')",14
"('r', 'c', 'c++')",13
"('microsoft', 'power', 'bi')",13
"('sql', 'hadoop', 'hive')",12
"('python', 'hadoop', 'spark')",12
"('hadoop', 'spark', 'kafka')",12
"('aws', 'google', 'cloud')",12
"('python', 'r', 'java')",12
"('r', 'python', 'excel')",12
"('spark', 'hadoop', 'hive')",11
"('spark', 'sql', 'hadoop')",11
"('c++', 'sql', 'elasticsearch')",11
"('tableau', 'r', 'python')",11
"('sql', 'python', 'java')",11
"('excel', 'sql', 'tableau')",11
"('graph', 'database', 'nosql')",11
"('python', 'pandas', 'scipy')",11
"('pandas', 'scipy', 'numpy')",11
"('scipy', 'numpy', 'pyspark')",11
"('tableau', 'sql', 'alteryx')",10
"('stata', 'nosql', 'hive')",10
"('nosql', 'hive', 'hadoop')",10
"('hive', 'hadoop', 'spark')",10
"('spark', 'python', 'tableau')",10
"('python', 'tableau', 'cognos')",10
"('tableau', 'cognos', 'power')",10
"('cognos', 'power', 'bi')",10
"('power', 'bi', 'pyspark')",10
"('bi', 'pyspark', 'mlops')",10
"('pyspark', 'mlops', 'scala')",10
"('mlops', 'scala', 'alteryx')",10
"('scala', 'alteryx', 'presto')",10
"('python', 'pyspark', 'spark')",10
"('pyspark', 'spark', 'sql')",10
"('hadoop', 'hive', 'hdfs')",10
"('hive', 'hdfs', 'pig')",10
"('hdfs', 'pig', 'linux')",10
"('python', 'java', 'scala')",10
"('sql', 'nosql', 'python')",10
"('python', 'scala', 'java')",10
"('hadoop', 'spark', 'hive')",10
"('c', 'c++', 'java')",10
"('python', 'sql', 'r')",10
"('word', 'excel', 'powerpoint')",10
"('java', 'scala', 'python')",10
"('git', 'svn', 'jenkins')",10
"('scala', 'tableau', 'sql')",9
"('', '', 'python')",9
"('aws', 'gcp', 'azure')",9
"('hadoop', 'hive', 'impala')",9
"('python', 'sql', 'hadoop')",9
"('r', 'sas', 'c')",9
"('power', 'bi', 'ms')",9
"('tableau', 'sql', 'python')",9
"('sql', 'sql', 'server')",9
"('google', 'cloud', 'platform')",9
"('azure', 'data', 'factory')",9
"('amazon', 'web', 'services')",9
"('scala', 'r', 'java')",9
"('r', 'java', 'java')",9
"('java', 'java', 'script')",9
"('eclipse', 'r', 'studio')",9
"('r', 'studio', 'jira')",9
"('studio', 'jira', 'git')",9
"('jira', 'git', 'svn')",9
"('python', 'pyspark', 'machine')",8
"('pyspark', 'machine', 'learningops')",8
"('machine', 'learningops', 'scala')",8
"('learningops', 'scala', 'tableau')",8
"('sql', 'alteryx', 'presto')",8
"('alteryx', 'presto', 'spark')",8
"('python', 'sql', 'tableau')",8
"('hive', 'spark', 'sql')",8
"('sql', 'apache', 'nifi')",8
"('apache', 'nifi', 'storm')",8
"('spark', 'python', 'r')",8
"('scala', 'spark', 'hadoop')",8
"('sql', 'python', 'pyspark')",8
"('python', 'r', 'python')",8
"('python', 'c#', 'c++')",8
"('r', 'python', 'scala')",8
"('python', 'r', 'tableau')",8
"('sas', 'r', 'python')",8
"('sql', 'sql', 'python')",8
"('oracle', 'microsoft', 'sql')",8
